company_name,company_email,source_site,source_url,contact_page,phone,website,country_guess,buyer_signal
Garon Dehydrates Private Limited,,IndiaMART,https://www.indiamart.com/proddetail/potato-starch-powder-8444176297.html,https://www.indiamart.com/proddetail/potato-starch-powder-8444176297.html#abt,+91-8048266626,https://www.thegaron.com/,India,potato-processor
Vital Herbs,,IndiaMART,https://www.indiamart.com/proddetail/dehydrated-sweet-potato-powder-26155877288.html,https://www.indiamart.com/proddetail/dehydrated-sweet-potato-powder-26155877288.html#abt,+91-8043839696,https://www.vitalherbs.in/,India,potato-processor
Labh Projects Private Limited ( Labh Group of Companies ),,IndiaMART,https://www.indiamart.com/proddetail/dehydrated-potato-flakes-powder-labh-group-2859027689748.html,https://www.indiamart.com/proddetail/dehydrated-potato-flakes-powder-labh-group-2859027689748.html#abt,+91-8047647193,https://www.labhgroup-turnkey-project.com/,India,potato-processor
Balaji Enterprises,,IndiaMART,https://www.indiamart.com/proddetail/dried-potato-khies-23303738048.html,https://www.indiamart.com/jn-global-tradecompanyindia/?pos=1&nh=Y&pid=2858844925212&c_id=101&mid=146961&pn=Dehydrated Potato Flakes,+91-7942554373,https://www.dhanyabhoj.com/,India,potato-processor
Amazon Spices Private Limited,,IndiaMART,https://www.indiamart.com/proddetail/potato-flakes-powder-16233416362.html,https://www.indiamart.com/proddetail/potato-flakes-powder-16233416362.html#abt,+91-7942654037,https://www.amazonspices.net/,India,buyer/importer; distributor/wholesaler; potato-processor
Mevive International Food Ingredients,,IndiaMART,https://www.indiamart.com/proddetail/dry-potato-flakes-2854988027033.html,https://www.indiamart.com/proddetail/dry-potato-flakes-2854988027033.html#abt,+91-8047675327,https://www.mevivefoods.com/,India,distributor/wholesaler; potato-processor
Aayush Food Products,,IndiaMART,https://www.indiamart.com/proddetail/dehydrated-potato-flakes-21732883262.html,https://www.indiamart.com/proddetail/dehydrated-potato-flakes-21732883262.html#abt,+91-8043868174,https://www.aayushfoodsindia.com/,India,distributor/wholesaler; potato-processor
All Chem,,IndiaMART,https://www.indiamart.com/proddetail/dry-potato-flakes-20388474288.html,https://www.indiamart.com/proddetail/dry-potato-flakes-20388474288.html#abt,+91-8043844113,https://www.breadcrumb.in/,India,potato-processor
Joshi Masala Co.,,IndiaMART,https://www.indiamart.com/proddetail/dehydrated-potato-flakes-21810217088.html,https://www.indiamart.com/shivang-trading-company/?pos=6&pid=26469649062&c_id=101&mid=146961&pn=Dehydrated Potato Flakes,+91-8047646462,https://www.joshimasala.in/,India,distributor/wholesaler; potato-processor
SM Foods,,IndiaMART,https://www.indiamart.com/proddetail/dehydrated-potato-flakes-2850580676548.html,https://www.indiamart.com/proddetail/dehydrated-potato-flakes-2850580676548.html#abt,+91-8043805692,https://www.smfoods.in/,India,distributor/wholesaler; potato-processor
Vegito Foods & Spices,,IndiaMART,https://www.indiamart.com/proddetail/dehydrated-potato-flake-2849224114488.html,https://www.indiamart.com/proddetail/dehydrated-potato-flake-2849224114488.html#abt,+91-8045911187,https://www.vegitofoodsandspices.com/,India,distributor/wholesaler; potato-processor
Radhey Lal Rajesh Kumar,,IndiaMART,https://www.indiamart.com/company/137181659/,https://www.indiamart.com/company/137181659/products.html,08011100,https://itunes.apple.com/us/app/indiamart-buy-sell-products/id668561641?mt=8,India,distributor/wholesaler
Anjaneya Traders,,IndiaMART,https://www.indiamart.com/company/145637894/,https://www.indiamart.com/company/145637894/products.html,996-2026,https://itunes.apple.com/us/app/indiamart-buy-sell-products/id668561641?mt=8,India,distributor/wholesaler; potato-processor
V B International,,IndiaMART,https://www.indiamart.com/proddetail/santana-fresh-potato-2850014190862.html,"https://www.indiamart.com/kapadiyaexpocompany/?pos=4&pid=2852989540373&c_id=101&mid=114136&pn=Brown Fresh Potato Vegetable, 20 Kg",+91-7942793243,,India,buyer/importer; distributor/wholesaler; potato-processor
Veerendra Imports And Exports,,IndiaMART,https://www.indiamart.com/proddetail/loose-fresh-potato-2857605179812.html,https://www.indiamart.com/proddetail/loose-fresh-potato-2857605179812.html#abt,+91-8047679309,,India,distributor/wholesaler; potato-processor
Agrilane Private Limited,,IndiaMART,https://www.indiamart.com/proddetail/fresh-potato-26743128673.html,https://www.indiamart.com/proddetail/fresh-potato-26743128673.html#abt,+91-8047547241,,India,distributor/wholesaler; potato-processor
Adinath Trading Co.,,IndiaMART,https://www.indiamart.com/proddetail/fresh-potato-8760146848.html,https://www.indiamart.com/vikash-fruit-and-vegetable-supplier/?pos=5&pid=2856416368297&c_id=101&mid=169806&pn=Organic Fresh A Grade Potato,+91-7942558343,,India,buyer/importer
Amatya Group,,IndiaMART,https://www.indiamart.com/proddetail/potato-2851502671655.html,https://www.indiamart.com/proddetail/potato-2851502671655.html#abt,+91-8043853488,,India,potato-processor
Saanvi Inc,,IndiaMART,https://www.indiamart.com/proddetail/3797-potatoes-for-exports-2851570601112.html,"https://www.indiamart.com/ankit-kumar-ashish-kumar-company/?pos=1&nh=Y&pid=2859058650097&c_id=101&mid=114136&pn=Creamish White Kufri Surya Potato, For Processing, 50 kg",+91-7942826498,,India,distributor/wholesaler; potato-processor
Halima Spice And Food (OPC) Private Limited,,IndiaMART,https://www.indiamart.com/proddetail/fresh-potato-3797-23166071633.html,"https://www.indiamart.com/dharti-cold-storage/?pos=4&pid=12895776373&c_id=101&mid=114136&pn=Small Size Fresh Potato, Packaging: Plastic Bag or Polythene",+91-7942535295,,India,distributor/wholesaler
Zinc Pixel India Private Limited,,IndiaMART,https://www.indiamart.com/proddetail/brown-fresh-potato-25224293448.html,https://www.indiamart.com/proddetail/brown-fresh-potato-25224293448.html#abt,+91-8047636719,,India,potato-processor
Manglamma Turmeric & Agro Services,,IndiaMART,https://www.indiamart.com/proddetail/fry-sona-potato-2854979346197.html,https://www.indiamart.com/proddetail/fry-sona-potato-2854979346197.html#abt,+91-8047314870,,India,distributor/wholesaler; potato-processor
Mangoloka Trading,,IndiaMART,https://www.indiamart.com/proddetail/loose-fresh-potato-2858055156362.html,https://www.indiamart.com/proddetail/loose-fresh-potato-2858055156362.html#abt,+91-7948219625,,India,potato-processor
Dharsini Exports,,IndiaMART,https://www.indiamart.com/proddetail/fresh-potato-brown-4793509562.html,https://www.indiamart.com/proddetail/fresh-potato-brown-4793509562.html#abt,+91-8047852296,,India,distributor/wholesaler; potato-processor
Hukum Singh Trading Company,,IndiaMART,https://www.indiamart.com/proddetail/fresh-3797-potato-23866520533.html,https://www.indiamart.com/hukumsinghtradingcompany/?pid=23866520533&c_id=101&mid=114136&pn=Fresh 3797 Potato&cui=1,+91-8043809611,,India,distributor/wholesaler
S S Enterrprises,,IndiaMART,https://www.indiamart.com/proddetail/new-potato-24155179930.html,https://www.indiamart.com/proddetail/new-potato-24155179930.html#abt,+91-7949221637,,India,distributor/wholesaler; potato-processor
Siri Enterprises,,IndiaMART,https://www.indiamart.com/proddetail/potato-2850406885148.html,https://www.indiamart.com/proddetail/potato-2850406885148.html#abt,+91-8047640601,,India,potato-processor
Maa Tara Fruits Company,,IndiaMART,https://www.indiamart.com/proddetail/natural-fresh-potato-20853269330.html,https://www.indiamart.com/maatarafruitscompany/?cui=1,+91-8043823251,,India,distributor/wholesaler; potato-processor
Anil Kumar Pahwa Traders,,IndiaMART,https://www.indiamart.com/proddetail/fresh-chips-potato-2856631680297.html,https://www.indiamart.com/proddetail/fresh-chips-potato-2856631680297.html#abt,+91-8047548138,,India,distributor/wholesaler; potato-processor
F A Traders,,IndiaMART,https://www.indiamart.com/proddetail/garden-fresh-potatoes-20040124448.html,https://www.indiamart.com/proddetail/garden-fresh-potatoes-20040124448.html#abt,+91-8047788058,,India,distributor/wholesaler; potato-processor
Yogi Agro International,,IndiaMART,https://www.indiamart.com/proddetail/fresh-chipsona-potato-2859017980697.html,"https://www.indiamart.com/jaydevagrointernational/?pos=3&pid=24803721991&c_id=101&mid=114136&pn=Brown A Grade Fl 1533 Potato, Gunny Bag, Packaging Size: 55kg",+91-8043840269,,India,distributor/wholesaler; potato-processor
Ratani Global Private Limited,,IndiaMART,https://www.indiamart.com/proddetail/happiyum-frozen-potato-smiley-2857150644588.html,https://www.indiamart.com/company/46336944/?pos=5&pid=19418213355&c_id=849&mid=28963&pn=Pakavo French Fries Crispy & Delicious (Frozen) 2.5 Kg Pack,+91-8043809599,,India,distributor/wholesaler; potato-processor
Novella Foods,,IndiaMART,https://www.indiamart.com/proddetail/frozen-potato-shots-2857840946033.html,https://www.indiamart.com/proddetail/frozen-potato-shots-2857840946033.html#abt,+91-7943436801,,India,distributor/wholesaler; potato-processor
Varasiddi Enterprises,,IndiaMART,https://www.indiamart.com/proddetail/frozon-potato-bets-2853153882548.html,https://www.indiamart.com/proddetail/frozon-potato-bets-2853153882548.html#abt,+91-8043829835,,India,distributor/wholesaler; potato-processor
Food Engineers Kitchen Private Limited,,IndiaMART,https://www.indiamart.com/proddetail/frozen-chilli-potato-2855853256830.html,https://www.indiamart.com/proddetail/frozen-chilli-potato-2855853256830.html#abt,+91-7949348072,,India,potato-processor
Golden Sun Agro Foods Private Limited,,IndiaMART,https://www.indiamart.com/proddetail/frozen-organic-baby-potatoes-26074394091.html,https://www.indiamart.com/proddetail/frozen-organic-baby-potatoes-26074394091.html#abt,+91-8043859034,,India,distributor/wholesaler; potato-processor
Vashisht Enterprises,,IndiaMART,https://www.indiamart.com/proddetail/frozen-potato-cubes-2856804774930.html,https://www.indiamart.com/proddetail/frozen-potato-cubes-2856804774930.html#abt,+91-7947155188,,India,distributor/wholesaler; potato-processor
Surya Enterprises,,IndiaMART,https://www.indiamart.com/proddetail/frozen-potato-kieves-1kg-2856874971330.html,"https://www.indiamart.com/the-indian-food-company-bengaluru/?pos=3&pid=2853479848691&c_id=849&mid=28963&pn=9 mm Frozen French Fries, Packaging Size: 1 Kg",+91-7942865401,,India,distributor/wholesaler; potato-processor
Sri Sai Baba Enterprises,,IndiaMART,https://www.indiamart.com/proddetail/itc-master-chef-potato-kiev-snacks-2857960225033.html,https://www.indiamart.com/proddetail/itc-master-chef-potato-kiev-snacks-2857960225033.html#abt,+91-8041012639,,India,potato-processor
M I Food Enterprise,,IndiaMART,https://www.indiamart.com/proddetail/frozen-crispy-happy-potato-25220154230.html,https://www.indiamart.com/proddetail/frozen-crispy-happy-potato-25220154230.html#abt,+91-8047308120,,India,potato-processor
Vajraa Impex,,IndiaMART,https://www.indiamart.com/proddetail/iqf-potato-cubes-10496953455.html,https://www.indiamart.com/proddetail/iqf-potato-cubes-10496953455.html#abt,+91-8048614681,,India,distributor/wholesaler; potato-processor
Mhetre Foods Private Limited,,IndiaMART,https://www.indiamart.com/proddetail/frozen-iqf-potato-9954709755.html,https://www.indiamart.com/proddetail/frozen-iqf-potato-9954709755.html#abt,+91-8048960498,,India,distributor/wholesaler; potato-processor
RL Enterprises,,IndiaMART,https://www.indiamart.com/proddetail/1-kg-cp-frozen-potato-kievs-2857203235962.html,https://www.indiamart.com/proddetail/1-kg-cp-frozen-potato-kievs-2857203235962.html#abt,+91-7942659100,,India,distributor/wholesaler; potato-processor
United Agro,,IndiaMART,https://www.indiamart.com/proddetail/itc-master-chef-potato-kiev-2857199036891.html,https://www.indiamart.com/proddetail/itc-master-chef-potato-kiev-2857199036891.html#abt,+91-7947156432,,India,distributor/wholesaler; potato-processor
R.P Enterprises,,IndiaMART,https://www.indiamart.com/proddetail/frozen-vegetables-24525702955.html,https://www.indiamart.com/proddetail/frozen-vegetables-24525702955.html#abt,+91-8043808391,,India,distributor/wholesaler; potato-processor
New United Food Links,,IndiaMART,https://www.indiamart.com/proddetail/savoury-wedges-frozen-potato-21481368397.html,https://www.indiamart.com/proddetail/savoury-wedges-frozen-potato-21481368397.html#abt,+91-8044464839,,India,distributor/wholesaler; potato-processor
Frozen Experts,,IndiaMART,https://www.indiamart.com/proddetail/frozen-experts-chilli-garlic-potato-shots-2850797958973.html,https://www.indiamart.com/proddetail/frozen-experts-chilli-garlic-potato-shots-2850797958973.html#abt,+91-8046032478,,India,distributor/wholesaler; potato-processor
Sahu Khan Chand Foods,,IndiaMART,https://www.indiamart.com/proddetail/frozen-diced-potato-20712002255.html,https://www.indiamart.com/bhajan-singh-company/?pos=3&pid=20189787888&c_id=101&mid=104622&pn=Frozen Diced Carrot,+91-8048202303,,India,distributor/wholesaler; potato-processor
P G S Agro,,IndiaMART,https://www.indiamart.com/proddetail/frozen-potato-dice-8843373612.html,https://www.indiamart.com/proddetail/frozen-potato-dice-8843373612.html#abt,+91-8044464625,,India,distributor/wholesaler; potato-processor
Aarna Marketing,,IndiaMART,https://www.indiamart.com/proddetail/smiles-22553623355.html,https://www.indiamart.com/proddetail/smiles-22553623355.html#abt,+91-8044464838,,India,distributor/wholesaler; potato-processor
Marche International,,IndiaMART,https://www.indiamart.com/proddetail/potato-starch-2859097037697.html,https://www.indiamart.com/proddetail/potato-starch-2859097037697.html#abt,+91-8047813692,,India,distributor/wholesaler; potato-processor
Akhil Healthcare Private Limited,,IndiaMART,https://www.indiamart.com/proddetail/potato-starch-ip-bp-ep-usp-2859081699691.html,https://www.indiamart.com/proddetail/potato-starch-ip-bp-ep-usp-2859081699691.html#abt,+91-8043818764,,India,distributor/wholesaler; potato-processor
New Priti Itradeimex Private Limited,,IndiaMART,https://www.indiamart.com/proddetail/native-potato-starch-imported-12685925097.html,https://www.indiamart.com/proddetail/native-potato-starch-imported-12685925097.html#abt,+91-8047631795,,India,buyer/importer; distributor/wholesaler; potato-processor
Amrutha Organics,,IndiaMART,https://www.indiamart.com/proddetail/potato-starch-powder-2857549194230.html,https://www.indiamart.com/proddetail/potato-starch-powder-2857549194230.html#abt,+91-8043845018,,India,potato-processor
Thirthraj Consolidated Company,,IndiaMART,https://www.indiamart.com/proddetail/potato-starch-powder-21623299991.html,https://www.indiamart.com/thirthrajconsolidated/?pid=21623299991&c_id=3&mid=35492&pn=Potato Starch Powder&cui=1,+91-8047305607,,India,distributor/wholesaler; potato-processor
Sri Dhanvantari Exports,,IndiaMART,https://www.indiamart.com/proddetail/potato-starch-powder-500-grams-food-grade-2851789729155.html,"https://www.indiamart.com/focustradingcompany/?pos=5&pid=3865014730&c_id=3&mid=35492&pn=Starch Potato, Corn, Tapioca",+91-8047811827,,India,distributor/wholesaler; potato-processor
STDM Food And Beverages Private Limited,,IndiaMART,https://www.indiamart.com/proddetail/rice-fiber-powder-2852106319512.html,"https://www.indiamart.com/hm-shah-company/?pos=2&pid=5356502848&c_id=3&mid=167106&pn=Powder Modified Starch ., Packaging Size: 1 kg",+91-8048272064,,India,distributor/wholesaler; potato-processor
Natural Prime Food & Spices,,IndiaMART,https://www.indiamart.com/proddetail/potato-starch-powder-24361164033.html,https://www.indiamart.com/proddetail/potato-starch-powder-24361164033.html#abt,+91-8048205349,,India,potato-processor
Vani Enterprise,,IndiaMART,https://www.indiamart.com/proddetail/native-potato-starch-23975939897.html,https://www.indiamart.com/proddetail/native-potato-starch-23975939897.html#abt,+91-8047305497,,India,potato-processor
Sryshaya Group,,IndiaMART,https://www.indiamart.com/proddetail/potato-starch-2856873358255.html,https://www.indiamart.com/proddetail/potato-starch-2856873358255.html#abt,+91-8047652036,,India,distributor/wholesaler; potato-processor
Rawat Industries,,IndiaMART,https://www.indiamart.com/proddetail/red-potato-seeds-2855082368248.html,https://www.indiamart.com/hukumsinghtradingcompany/?pos=3&pid=2855088981888&c_id=101&mid=37580&pn=Red Potato Seeds,+91-7942719871,,India,distributor/wholesaler
Manvi Agri Junction And Krishi Sewa Kendra,,IndiaMART,https://www.indiamart.com/proddetail/cpri-kufri-bahar-3797-f2-seeds-potato-2853471603391.html,https://www.indiamart.com/hukumsinghtradingcompany/?pos=6&pid=2854903577873&c_id=101&mid=37580&pn=A Grade Potato Seeds,+91-7949091360,,India,distributor/wholesaler
Prabha Inc,,IndiaMART,https://www.indiamart.com/proddetail/sukh-potato-seeds-2855366115191.html,"https://www.indiamart.com/floral-seedcompany/?pos=1&pid=4693398530&c_id=101&mid=37580&pn=A Grade Gujarat Potato Seeds for Sowing, Packaging Size: 20 kg",+91-8045201526,,India,distributor/wholesaler
Subedar Silage Farm,,IndiaMART,https://www.indiamart.com/proddetail/l-r-potato-seed-2855328468597.html,https://www.indiamart.com/proddetail/l-r-potato-seed-2855328468597.html#abt,+91-8048203328,,India,potato-processor
